inoc,sal,trait,mit
IS-03,50,car,311.11111111111114
IS-03,100,car,96.875
IS-03,150,car,4.761904761904749
IS-04,50,car,105.55555555555556
IS-04,100,car,93.75
IS-04,150,car,57.14285714285714
IS-05,50,car,155.55555555555557
IS-05,100,car,109.375
IS-05,150,car,42.85714285714285
IS-06,50,car,377.77777777777777
IS-06,100,car,140.625
IS-06,150,car,95.23809523809523
IS-01,50,protein,10.805545147995517
IS-01,100,protein,27.556872490919503
IS-01,150,protein,33.774446656517156
IS-02,50,protein,21.611090295991012
IS-02,100,protein,36.74249665455935
IS-02,150,protein,45.02869188429558
IS-03,50,protein,28.812289246908968
IS-03,100,protein,45.93767922003441
IS-03,150,protein,50.661669984775735
IS-04,50,protein,32.41663544398653
IS-04,100,protein,50.5257121009367
IS-04,150,protein,56.282937112073995
IS-05,50,protein,36.058448857249914
IS-05,100,protein,59.711336264576566
IS-05,150,protein,61.915915212554154
IS-06,50,protein,39.61783439490446
IS-06,100,protein,68.90651883005161
IS-06,150,protein,67.53718233985244
IS-01,50,sugar,5.092186128182601
IS-01,100,sugar,38.87421255842309
IS-01,150,sugar,76.46874018221806
IS-02,50,sugar,15.261925665788691
IS-02,100,sugar,53.017679333468806
IS-02,150,sugar,125.63619227144203
IS-03,50,sugar,22.900204858062615
IS-03,100,sugar,63.604958341800454
IS-03,150,sugar,131.10273327049956
IS-04,50,sugar,25.44629792215394
IS-04,100,sugar,67.14082503556187
IS-04,150,sugar,147.47093936537857
IS-05,50,sugar,27.992390986245237
IS-05,100,sugar,74.21255842308474
IS-05,150,sugar,158.40402136349357
IS-06,50,sugar,30.53848405033654
IS-06,100,sugar,77.74842511684616
IS-06,150,sugar,169.33710336160857
IS-01,50,dpph,-4.615384615384616
IS-01,100,dpph,-24.390243902439025
IS-01,150,dpph,-10.0
IS-02,50,dpph,3.076923076923077
IS-02,100,dpph,-17.073170731707318
IS-02,150,dpph,-7.142857142857142
IS-03,50,dpph,10.76923076923077
IS-03,100,dpph,-15.853658536585366
IS-03,150,dpph,5.714285714285714
IS-04,50,dpph,13.846153846153847
IS-04,100,dpph,-12.195121951219512
IS-04,150,dpph,11.428571428571429
IS-05,50,dpph,18.461538461538463
IS-05,100,dpph,-9.75609756097561
IS-05,150,dpph,14.285714285714285
IS-06,50,dpph,24.615384615384617
IS-06,100,dpph,-4.878048780487805
IS-06,150,dpph,25.71428571428571
C1-3,50,germ,-8.33333333333334
C1-3,100,germ,5.000000000000015
C1-3,150,germ,11.111111111111095
C1-5,50,germ,0.0
C1-5,100,germ,0.0
C1-5,150,germ,-5.55555555555556
C2-3,50,germ,8.33333333333334
C2-3,100,germ,15.000000000000025
C2-3,150,germ,-16.666666666666664
C2-5,50,germ,4.1666666666666785
C2-5,100,germ,10.000000000000009
C2-5,150,germ,16.666666666666664
C4-5,50,germ,16.66666666666666
C4-5,100,germ,20.000000000000018
C4-5,150,germ,27.777777777777786
C1-3,50,root,-13.30049261083743
C1-3,100,root,-16.066481994459835
