exp,inoc,sal,trait,mean,sd
con,Control,150,root_cm,2.06,0.05
con,Control,150,shoot_cm,13.9,0.05
con,Control,150,SVI_reported,480.6,8.41
con,C1-3,150,germ_n,20.0,
con,C1-3,150,seeds,30.0,
con,C1-3,150,root_cm,3.52,0.03
con,C1-3,150,shoot_cm,19.8,10.3
con,C1-3,150,SVI_reported,781.22,11.5
con,C1-5,150,germ_n,17.0,
con,C1-5,150,seeds,30.0,
con,C1-5,150,root_cm,2.03,0.04
con,C1-5,150,shoot_cm,23.1,12.0
con,C1-5,150,SVI_reported,716.2,14.8
con,C2-3,150,germ_n,15.0,
con,C2-3,150,seeds,30.0,
con,C2-3,150,root_cm,3.83,0.03
con,C2-3,150,shoot_cm,15.9,8.27
con,C2-3,150,SVI_reported,493.25,8.53
con,C2-5,150,germ_n,21.0,
con,C2-5,150,seeds,30.0,
con,C2-5,150,root_cm,4.04,0.04
con,C2-5,150,shoot_cm,21.0,10.7
con,C2-5,150,SVI_reported,876.4,11.99
con,C4-5,150,germ_n,23.0,
con,C4-5,150,seeds,30.0,
con,C4-5,150,root_cm,4.3,0.15
con,C4-5,150,shoot_cm,25.0,0.01
con,C4-5,150,SVI_reported,1128.0,14.6
iso,Control,0,chla,32.0,0.03
iso,Control,0,chlb,35.5,0.51
iso,Control,0,totchl_reported,33.7,2.53
iso,Control,0,car,0.14,
iso,IS-01,0,chla,20.1,0.26
iso,IS-01,0,chlb,18.6,0.57
iso,IS-01,0,totchl_reported,19.3,1.05
iso,IS-01,0,car,0.037,
iso,IS-02,0,chla,11.5,0.25
iso,IS-02,0,chlb,10.0,0.15
iso,IS-02,0,totchl_reported,11.1,0.49
iso,IS-02,0,car,0.123,
iso,IS-03,0,chla,15.0,0.19
iso,IS-03,0,chlb,10.5,0.33
iso,IS-03,0,totchl_reported,14.2,0.99
iso,IS-03,0,car,0.014,
iso,IS-04,0,chla,16.5,0.24
iso,IS-04,0,chlb,14.6,0.26
iso,IS-04,0,totchl_reported,15.5,1.3
iso,IS-04,0,car,0.047,
iso,IS-05,0,chla,19.2,0.42
iso,IS-05,0,chlb,16.5,0.1
iso,IS-05,0,totchl_reported,17.8,1.86
iso,IS-05,0,car,0.034,
iso,IS-06,0,chla,30.2,0.25
iso,IS-06,0,chlb,29.1,0.18
iso,IS-06,0,totchl_reported,29.6,0.7
iso,IS-06,0,car,0.163,
iso,Control,50,chla,10.0,0.1
iso,Control,50,chlb,8.6,0.24
iso,Control,50,totchl_reported,9.3,2.71
iso,Control,50,car,0.018,
iso,IS-01,50,chla,19.6,0.32
iso,IS-01,50,chlb,15.7,0.11
iso,IS-01,50,totchl_reported,17.6,2.71
iso,IS-01,50,car,0.013,
iso,IS-02,50,chla,11.0,0.07
iso,IS-02,50,chlb,10.0,0.12
iso,IS-02,50,totchl_reported,10.5,0.7
iso,IS-02,50,car,0.015,
iso,IS-03,50,chla,13.5,0.12
iso,IS-03,50,chlb,12.1,0.13
iso,IS-03,50,totchl_reported,12.8,0.98
iso,IS-03,50,car,0.074,
iso,IS-04,50,chla,15.3,0.48
iso,IS-04,50,chlb,13.2,0.14
iso,IS-04,50,totchl_reported,14.2,1.46
iso,IS-04,50,car,0.037,
iso,IS-05,50,chla,19.6,0.26
iso,IS-05,50,chlb,16.4,0.4
iso,IS-05,50,totchl_reported,18.0,2.23
iso,IS-05,50,car,0.046,
iso,IS-06,50,chla,28.8,0.07
iso,IS-06,50,chlb,26.6,0.13
iso,IS-06,50,totchl_reported,27.7,1.53
iso,IS-06,50,car,0.086,
iso,Control,100,chla,8.8,0.14
iso,Control,100,chlb,7.6,0.22
iso,Control,100,totchl_reported,8.2,0.81
iso,Control,100,car,0.032,
iso,IS-01,100,chla,17.0,0.05
iso,IS-01,100,chlb,12.6,0.28
iso,IS-01,100,totchl_reported,14.8,3.08
iso,IS-01,100,car,0.052,
iso,IS-02,100,chla,10.6,0.16
iso,IS-02,100,chlb,9.4,0.23
iso,IS-02,100,totchl_reported,10.0,0.84
iso,IS-02,100,car,0.044,
iso,IS-03,100,chla,11.7,0.09
iso,IS-03,100,chlb,10.4,0.1
iso,IS-03,100,totchl_reported,11.0,0.9
iso,IS-03,100,car,0.063,
iso,IS-04,100,chla,14.1,0.22
iso,IS-04,100,chlb,12.4,0.17
iso,IS-04,100,totchl_reported,13.2,1.17
iso,IS-04,100,car,0.062,
iso,IS-05,100,chla,18.3,0.33
iso,IS-05,100,chlb,13.4,0.14
iso,IS-05,100,totchl_reported,15.8,3.44
iso,IS-05,100,car,0.067,
iso,IS-06,100,chla,25.2,0.25
iso,IS-06,100,chlb,23.6,0.23
iso,IS-06,100,totchl_reported,24.4,1.09
iso,IS-06,100,car,0.077,
iso,Control,150,chla,5.5,0.33
iso,Control,150,chlb,2.4,0.21
iso,Control,150,totchl_reported,3.9,2.13
iso,Control,150,car,0.021,
iso,IS-01,150,chla,11.4,0.36
iso,IS-01,150,chlb,9.6,0.27
iso,IS-01,150,totchl_reported,10.5,1.25
iso,IS-01,150,car,0.037,
iso,IS-02,150,chla,6.4,0.41
iso,IS-02,150,chlb,4.6,0.34
iso,IS-02,150,totchl_reported,5.5,1.25
iso,IS-02,150,car,0.024,
iso,IS-03,150,chla,10.0,0.07
iso,IS-03,150,chlb,8.5,0.19
iso,IS-03,150,totchl_reported,9.2,1.0
iso,IS-03,150,car,0.022,
iso,IS-04,150,chla,12.5,0.29
iso,IS-04,150,chlb,10.6,0.08
iso,IS-04,150,totchl_reported,11.5,1.27
iso,IS-04,150,car,0.033,
iso,IS-05,150,chla,11.6,0.33
iso,IS-05,150,chlb,10.0,0.07
iso,IS-05,150,totchl_reported,10.8,1.1
iso,IS-05,150,car,0.03,
iso,IS-06,150,chla,18.7,0.08
iso,IS-06,150,chlb,16.3,0.4
iso,IS-06,150,totchl_reported,17.5,1.68
iso,IS-06,150,car,0.041,
con,Control,0,chla,32.0,0.03
con,Control,0,chlb,35.5,0.51
con,Control,0,totchl_reported,33.7,2.53
con,Control,0,car,0.14,
con,C1-3,0,chla,7.3,0.53
con,C1-3,0,chlb,0.26,0.02
con,C1-3,0,totchl_reported,3.78,4.97
con,C1-3,0,car,0.046,
con,C1-5,0,chla,8.3,0.33
con,C1-5,0,chlb,0.57,0.01
con,C1-5,0,totchl_reported,4.43,5.46
con,C1-5,0,car,0.048,
con,C2-3,0,chla,10.5,0.16
con,C2-3,0,chlb,1.61,0.02
con,C2-3,0,totchl_reported,6.05,6.28
con,C2-3,0,car,0.053,
con,C2-5,0,chla,19.2,0.07
con,C2-5,0,chlb,3.04,0.04
con,C2-5,0,totchl_reported,11.1,11.4
con,C2-5,0,car,0.087,
con,C4-5,0,chla,22.0,0.77
con,C4-5,0,chlb,3.99,0.05
con,C4-5,0,totchl_reported,12.9,12.7
con,C4-5,0,car,0.099,
con,Control,50,chla,10.0,0.1
con,Control,50,chlb,8.6,0.24
con,Control,50,totchl_reported,9.3,2.71
con,Control,50,car,0.018,
con,C1-3,50,chla,6.3,0.02
con,C1-3,50,chlb,0.15,0.08
con,C1-3,50,totchl_reported,3.22,4.34
con,C1-3,50,car,0.005,
con,C1-5,50,chla,8.0,0.02
con,C1-5,50,chlb,0.4,0.01
con,C1-5,50,totchl_reported,4.2,5.37
con,C1-5,50,car,0.022,
con,C2-3,50,chla,9.1,0.03
con,C2-3,50,chlb,1.23,1.23
con,C2-3,50,totchl_reported,5.18,5.53
con,C2-3,50,car,0.034,
con,C2-5,50,chla,16.3,0.13
con,C2-5,50,chlb,2.4,0.02
con,C2-5,50,totchl_reported,9.36,9.8
con,C2-5,50,car,0.04,
con,C4-5,50,chla,20.6,0.08
con,C4-5,50,chlb,2.88,0.02
con,C4-5,50,totchl_reported,11.7,12.5
con,C4-5,50,car,0.057,
con,Control,100,chla,8.8,0.14
con,Control,100,chlb,7.6,0.22
con,Control,100,totchl_reported,8.2,0.81
con,Control,100,car,0.032,
con,C1-3,100,chla,5.6,0.37
con,C1-3,100,chlb,0.12,0.0
con,C1-3,100,totchl_reported,2.86,3.87
con,C1-3,100,car,0.022,
con,C1-5,100,chla,7.6,0.06
con,C1-5,100,chlb,0.19,0.0
con,C1-5,100,totchl_reported,2.89,5.23
con,C1-5,100,car,0.027,
con,C2-3,100,chla,4.7,0.12
con,C2-3,100,chlb,0.96,0.02
con,C2-3,100,totchl_reported,3.83,1.32
con,C2-3,100,car,0.035,
con,C2-5,100,chla,15.5,0.1
con,C2-5,100,chlb,1.64,0.04
con,C2-5,100,totchl_reported,8.57,9.8
con,C2-5,100,car,0.038,
con,C4-5,100,chla,17.7,0.12
con,C4-5,100,chlb,2.45,0.02
con,C4-5,100,totchl_reported,10.0,10.7
con,C4-5,100,car,0.044,
con,Control,150,chla,5.5,0.33
con,Control,150,chlb,2.4,0.21
con,Control,150,totchl_reported,3.9,2.13
con,Control,150,car,0.021,
con,C1-3,150,chla,3.42,0.26
con,C1-3,150,chlb,0.01,0.0
con,C1-3,150,totchl_reported,1.71,2.41
con,C1-3,150,car,0.01,
con,C1-5,150,chla,4.6,0.06
con,C1-5,150,chlb,0.18,0.0
con,C1-5,150,totchl_reported,2.39,3.12
con,C1-5,150,car,0.02,
con,C2-3,150,chla,2.17,0.06
con,C2-3,150,chlb,0.77,0.01
con,C2-3,150,totchl_reported,1.47,0.98
con,C2-3,150,car,0.027,
con,C2-5,150,chla,12.6,0.31
con,C2-5,150,chlb,1.5,0.13
con,C2-5,150,totchl_reported,7.05,7.84
con,C2-5,150,car,0.031,
con,C4-5,150,chla,15.6,0.14
con,C4-5,150,chlb,2.28,0.01
con,C4-5,150,totchl_reported,8.94,9.41
con,C4-5,150,car,0.056,
con,Control,0,phenol,20.56,0.15
con,C1-3,0,phenol,13.97,0.15
con,C1-5,0,phenol,15.09,0.15
con,C2-3,0,phenol,17.32,0.15
con,C2-5,0,phenol,18.44,0.15
con,C4-5,0,phenol,26.26,0.15
con,Control,50,phenol,9.5,0.15
con,C1-3,50,phenol,10.62,0.15
con,C1-5,50,phenol,11.74,0.15
con,C2-3,50,phenol,13.97,0.15
con,C2-5,50,phenol,16.21,0.15
con,C4-5,50,phenol,24.03,0.15
con,Control,100,phenol,7.27,0.15
con,C1-3,100,phenol,8.39,0.15
con,C1-5,100,phenol,9.5,0.15
con,C2-3,100,phenol,12.85,0.15
con,C2-5,100,phenol,15.09,0.15
con,C4-5,100,phenol,20.67,0.15
con,Control,150,phenol,6.15,0.15
con,C1-3,150,phenol,6.15,0.15
con,C1-5,150,phenol,7.27,0.15
con,C2-3,150,phenol,10.62,0.15
con,C2-5,150,phenol,12.85,0.15
con,C4-5,150,phenol,16.21,0.15
iso,Control,0,protein,215.15,0.15
iso,IS-01,0,protein,162.29,0.15
iso,IS-02,0,protein,176.71,0.15
iso,IS-03,0,protein,181.51,0.15
iso,IS-04,0,protein,191.12,0.15
iso,IS-05,0,protein,195.93,0.15
iso,IS-06,0,protein,205.54,0.15
iso,Control,50,protein,133.45,0.15
iso,IS-01,50,protein,147.87,0.15
iso,IS-02,50,protein,162.29,0.15
iso,IS-03,50,protein,171.9,0.15
iso,IS-04,50,protein,176.71,0.15
iso,IS-05,50,protein,181.57,0.15
iso,IS-06,50,protein,186.32,0.15
iso,Control,100,protein,104.62,0.15
iso,IS-01,100,protein,133.45,0.15
iso,IS-02,100,protein,143.06,0.15
iso,IS-03,100,protein,152.68,0.15
iso,IS-04,100,protein,157.48,0.15
iso,IS-05,100,protein,167.09,0.15
iso,IS-06,100,protein,176.71,0.15
iso,Control,150,protein,85.39,0.15
iso,IS-01,150,protein,114.23,0.15
